,ClonalityCatFinal,USDAGroup,USDAHabit,USDADuration,PollMode1,DispMode1,Genus,Species,Family,USDACode,WorZ_SppCode,seedmass_mg,dispmass_mg,n_seed_pop,leaf_height_cm,flwr_height_cm,n_height_pop,fresh_mass_g,dry_mass_g,n_leaf_pop,WI_native,WI_C,WI_W,MO_native,MO_C,MO_W,underground,jmclonal,WI_wet,MO_wet,sla,n_sla_pop
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,ClonalPhl,Dicot,Vine,Perennial,Bee,Unassisted,Calystegia,macounii,Convolvulaceae,CAMA23,ZCALMAC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,native,5,5,4,4,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,ClonalGuer,Monocot,Graminoid,Perennial,Wind,Ant,Carex,meadii,Cyperaceae,CAME2,ZCARMEA,NA,NA,NA,28,22.4,2,0.485,0.1675,2,NA,NA,NA,NA,NA,NA,5,5,FAC,FAC,212.9444762,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,NA,Monocot,Graminoid,NA,NA,NA,Carex,L.,Cyperaceae,CAREX,ZCARSPP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,NonClonal,Monocot,Forb_herb,Perennial,Bee,Unassisted,Camassia,scilloides,Liliaceae,CASC5,ZCAMSCI,5.175666667,5.175666667,1,19,28.2,1,1.175,0.245,2,NA,NA,NA,native,6,3,NA,3,FAC,FAC,181.3733333,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,NonClonal,Dicot,Forb_herb,Annual,Butterfly,Unassisted,Palafoxia,callosa,Asteraceae,PACA3,ZPALCAL,1.4526,1.4526,1,24.81818182,29.63636364,1,0.33,0.065,1,NA,NA,NA,native,5,5,1,1,NA,NA,118.9846154,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,NonClonal,Monocot,Graminoid,Annual,Wind,Unassisted,Panicum,flexile,Poaceae,PAFL2,ZPANFLE,NA,NA,NA,44.2,44,1,NA,NA,NA,NA,NA,NA,native,3,3,1,1,FACW,FACU,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,NonClonal,Dicot,Forb_herb,Annual,Bee,Wind,Centaurium,texense,Gentianaceae,CETE2,ZCENTEX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
